,name,country,id,hem,temp,lat,lon,humidity,clouds,max_temp,wind,ideal
0,Yellowknife,CA,6185377,North,40.73,62.46,-114.35,65,40,41.0,4.7,False
1,Caravelas,BR,3466980,South,71.8,-17.71,-39.25,90,100,71.8,12.95,False
2,Norman Wells,CA,6089245,North,30.2,65.28,-126.83,80,5,30.2,2.59,False
3,Albany,US,5106841,North,41.94,42.6,-73.97,60,56,43.0,8.37,False
4,Punta Arenas,CL,3874787,South,39.96,-53.15,-70.92,93,90,41.0,3.36,False
5,Bay Roberts,CA,5895424,North,34.5,47.6,-53.26,1,100,36.0,5.99,False
6,San Carlos,VE,3628503,North,78.4,9.66,-68.58,80,100,78.4,1.57,False
7,Mataura,NZ,6201424,South,49.17,-46.19,168.86,86,99,49.17,1.77,False
8,Athani,IN,1278208,North,95.31,16.73,75.07,26,55,95.31,1.41,False
9,Pevek,RU,2122090,North,33.87,69.7,170.31,86,16,33.87,2.35,False
10,Ushuaia,AR,3833367,South,46.4,-54.8,-68.3,87,75,46.4,1.68,False
11,São Filipe,CV,3374210,North,72.88,14.9,-24.5,78,21,72.88,12.33,False
12,Cape Town,ZA,3369157,South,61.23,-33.93,18.42,87,25,64.99,1.12,False
13,Kiama,AU,2161515,South,76.71,-34.68,150.87,61,0,79.0,5.01,True
14,Cherskiy,RU,2126199,North,36.1,68.75,161.3,83,10,36.1,3.06,False
15,Port Alfred,ZA,964432,South,63.0,-33.59,26.89,93,93,63.0,7.0,False
16,New Norfolk,AU,2155415,South,58.19,-42.78,147.06,65,95,61.0,5.01,False
17,Castro,BR,3466704,South,43.23,-24.79,-50.01,93,0,43.23,4.92,False
18,Bethel,US,5282297,North,50.05,41.37,-73.41,53,20,51.8,6.93,False
19,Tuktoyaktuk,CA,6170031,North,15.8,69.45,-133.04,92,20,15.8,13.87,False
20,Jacareacanga,BR,3397763,South,72.57,-6.22,-57.75,98,58,72.57,2.19,False
21,Clyde River,CA,5924351,North,5.0,70.47,-68.59,84,20,5.0,3.13,False
22,Bredasdorp,ZA,1015776,South,57.2,-34.53,20.04,87,79,57.2,2.62,False
23,Cascais,PT,2269594,North,60.24,38.7,-9.42,85,22,61.0,11.41,False
24,Tāsgaon,IN,1254858,North,99.16,17.03,74.6,15,24,99.16,4.81,False
25,Cabo San Lucas,MX,3985710,North,77.5,22.89,-109.91,46,4,78.01,12.1,False
26,Jamestown,US,5122534,North,37.4,42.1,-79.24,69,75,37.4,3.36,False
27,Safaga,EG,358620,North,73.4,26.73,33.94,23,0,73.4,9.17,True
28,East London,ZA,1006984,South,68.0,-33.02,27.91,68,92,68.0,3.36,False
29,Cockburn Town,TC,3576994,North,81.07,21.46,-71.14,80,66,81.07,5.75,False
30,Saint-Philippe,RE,935215,South,80.17,-21.36,55.77,74,94,82.0,6.93,False
31,Khatanga,RU,2022572,North,18.66,71.97,102.5,94,0,18.66,11.32,False
32,Lorengau,PG,2092164,South,84.18,-2.02,147.27,74,37,84.18,2.35,False
