,name,country,id,hem,temp,lat,lon,humidity,clouds,max_temp,wind,ideal
0,Noril'sk,RU,1497337,North,33.8,69.35,88.2,100,90,33.8,17.9,False
1,Katsuura,JP,2112309,North,68.14,35.13,140.3,56,100,69.01,5.99,False
2,Hithadhoo,MV,1282256,South,85.24,-0.6,73.08,79,99,85.24,14.72,False
3,Xucheng,CN,1787837,North,98.6,20.35,110.13,53,26,98.6,6.71,False
4,Hilo,US,5855927,North,76.01,19.73,-155.09,61,1,78.8,6.93,False
5,Caravelas,BR,3466980,South,73.29,-17.71,-39.25,72,99,73.29,12.39,False
6,Barsovo,RU,1510842,North,69.8,61.17,73.17,35,98,69.8,13.42,False
7,Acapulco de Juárez,MX,3533462,North,80.6,16.86,-99.89,78,40,80.6,3.36,False
8,Soe,ID,1626703,South,78.24,-9.86,124.28,67,38,78.24,7.83,False
9,Leningradskiy,RU,2123814,North,34.16,69.38,178.42,89,50,34.16,9.4,False
10,Conceição das Alagoas,BR,3465764,South,61.09,-19.91,-48.39,83,26,61.09,3.29,False
11,Mataura,NZ,6201424,South,55.53,-46.19,168.86,80,0,55.53,2.89,False
12,Ushuaia,AR,3833367,South,44.6,-54.8,-68.3,75,37,44.6,3.36,False
13,Chokurdakh,RU,2126123,North,31.06,70.63,147.92,98,100,31.06,6.93,False
14,Daru,PG,2098329,South,83.16,-9.08,143.21,74,19,83.16,13.49,False
15,Ambon City,ID,1651531,South,87.93,-3.7,128.18,66,40,88.0,9.17,False
16,Atuona,PF,4020109,South,81.05,-9.8,-139.03,77,88,81.05,18.59,False
17,Nosy Varika,MG,1058080,South,71.69,-20.58,48.53,85,72,71.69,7.07,False
18,Torbay,CA,6167817,North,36.43,47.67,-52.73,80,75,37.99,13.87,False
19,Bubaque,GW,2374583,North,78.64,11.28,-15.83,73,91,78.64,9.06,False
20,Cockburn Town,TC,3576994,North,80.47,21.46,-71.14,85,94,80.47,20.89,False
21,Funadhoo,MV,1337620,North,85.1,6.15,73.27,71,56,85.1,5.19,False
22,Bengkulu,ID,1649150,South,86.54,-3.8,102.27,66,76,86.54,8.3,False
23,Miramar,US,4164601,North,74.82,25.99,-80.23,64,1,75.2,3.36,False
24,Zhuhai,CN,1790437,North,87.66,22.28,113.57,84,40,89.6,13.87,False
25,São João da Barra,BR,3448903,South,64.11,-21.64,-41.05,83,2,64.11,7.7,False
26,Korsakov,RU,2124286,North,66.2,46.63,142.78,24,57,66.2,11.18,False
27,Tateyama,JP,1850523,North,68.52,34.98,139.87,56,75,69.8,12.75,False
28,New Norfolk,AU,2155415,South,51.66,-42.78,147.06,77,100,54.0,1.99,False
29,Kenai,US,5866063,North,56.28,60.55,-151.26,35,75,57.2,13.87,False
30,Nikolskoye,RU,546105,North,48.11,59.7,30.79,69,59,48.2,8.95,False
31,Rikitea,PF,4030556,South,75.92,-23.12,-134.97,68,65,75.92,5.17,False
32,Port-Gentil,GA,2396518,South,80.46,-0.72,8.78,85,100,80.46,9.1,False
33,Mpanda,TZ,153176,South,65.25,-6.37,31.04,93,14,65.25,2.06,False
34,Nyurba,RU,2018735,North,39.06,63.28,118.33,59,0,39.06,6.76,False
35,Albany,US,5106841,North,32.47,42.6,-73.97,73,100,33.01,7.7,False
36,Upernavik,GL,3418910,North,20.71,72.79,-56.15,92,100,20.71,10.4,False
37,Tiksi,RU,2015306,North,22.03,71.69,128.87,96,100,22.03,9.46,False
38,Hailey,US,5594956,North,51.8,43.52,-114.32,50,5,51.8,3.36,False
39,Lagoa,PT,3372964,North,61.66,39.05,-27.98,89,94,61.66,17.25,False
40,Busselton,AU,2075265,South,61.23,-33.65,115.33,40,0,63.0,5.17,False
41,Chuguyevka,RU,2025286,North,60.15,44.17,133.86,57,100,60.15,1.3,False
42,Alice Springs,AU,2077895,South,73.4,-23.7,133.88,18,2,73.4,16.11,False
43,Punta Arenas,CL,3874787,South,37.4,-53.15,-70.92,93,100,37.4,2.24,False
44,Vardø,NO,777019,North,33.8,70.37,31.11,69,40,33.8,4.7,False
45,Kieta,PG,2094027,South,84.36,-6.22,155.63,70,14,84.36,5.14,False
46,Coyhaique,CL,3894426,South,48.2,-45.58,-72.07,93,90,48.2,8.05,False
47,Biak,ID,1637001,South,85.14,-0.91,122.88,72,94,85.14,7.49,False
48,Puerto Ayora,EC,3652764,South,75.99,-0.74,-90.35,94,86,75.99,5.68,False
49,Yangi Marg`ilon,UZ,1513491,North,64.4,40.43,71.72,77,90,64.4,9.17,False
50,Kapaa,US,5848280,North,73.94,22.08,-159.32,69,75,75.2,17.22,False
51,Margate,GB,2643044,North,50.59,51.38,1.39,72,100,53.01,1.01,False
52,Bluff,NZ,2206939,South,58.6,-46.6,168.33,78,3,58.6,5.91,False
53,Tuatapere,NZ,2180815,South,59.61,-46.13,167.68,72,13,59.61,5.7,False
54,Altenholz,DE,2957588,North,48.65,54.4,10.13,86,50,48.99,5.82,False
