,Weather_Condition,Accidents
0,Fair,147143
1,Cloudy,60221
2,Mostly Cloudy,54751
3,Partly Cloudy,32045
4,Light Rain,25079
5,Rain,7111
6,Fog,3533
7,Fair / Windy,3131
8,Heavy Rain,2579
9,Haze,2182
10,Light Snow,2172
11,Mostly Cloudy / Windy,1804
12,T-Storm,1372
13,Cloudy / Windy,1308
14,Light Drizzle,1230
15,Light Rain with Thunder,1024
16,Partly Cloudy / Windy,1017
17,Light Rain / Windy,847
18,Thunder in the Vicinity,782
19,Heavy T-Storm,712
20,Thunder,641
21,Snow,418
22,Drizzle,296
23,Rain / Windy,213
24,Wintry Mix,160
25,Showers in the Vicinity,135
26,Heavy Rain / Windy,117
27,Light Snow / Windy,112
28,Heavy Snow,107
29,Heavy T-Storm / Windy,96
30,Patches of Fog,83
31,T-Storm / Windy,79
32,Light Rain Shower,71
33,Shallow Fog,50
34,Mist,47
35,Snow / Windy,44
36,Smoke,44
37,N/A Precipitation,41
38,Thunder / Windy,33
39,Heavy Snow / Windy,26
40,Light Drizzle / Windy,26
41,Blowing Dust / Windy,25
42,Haze / Windy,23
43,Widespread Dust,19
44,Fog / Windy,17
45,Drizzle and Fog,17
46,Blowing Dust,15
47,Heavy Drizzle,12
48,Light Rain Shower / Windy,10
49,Rain Shower,8
50,Wintry Mix / Windy,8
51,Light Sleet,7
52,Patches of Fog / Windy,7
53,Smoke / Windy,6
54,Squalls / Windy,5
55,Light Freezing Rain,4
56,Drizzle / Windy,3
57,Snow and Sleet,3
58,Heavy Rain Shower,2
59,Sand / Dust Whirlwinds,2
60,Light Freezing Drizzle,2
61,Light Freezing Rain / Windy,1
62,Light Snow and Sleet,1
63,Thunder and Hail,1
64,Sand / Dust Whirls Nearby,1
