State,City,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Zipcode,Airport_Code,Temperature(F),Weather_Condition,Civil_Twilight
AL,Addison,2,1,1,1,1,1,1,1,1,1
AL,Alabaster,2,1,1,1,1,1,1,1,1,1
AL,Alabaster,3,4,4,4,4,4,4,4,4,4
AL,Alabaster,4,1,1,1,1,1,1,1,1,1
AL,Albertville,2,2,2,2,2,2,2,2,2,2
AL,Altoona,2,3,3,3,3,3,3,3,3,3
AL,Anniston,4,1,1,1,1,1,1,1,1,1
AL,Ardmore,2,1,1,1,1,1,1,1,1,1
AL,Ardmore,3,2,2,2,2,2,2,2,2,2
AL,Athens,2,20,20,20,20,20,20,20,19,20
AL,Athens,3,4,4,4,4,4,4,4,4,4
AL,Atmore,3,1,1,1,1,1,1,1,1,1
AL,Attalla,2,2,2,2,2,2,2,2,2,2
AL,Auburn,2,2,2,2,2,2,2,2,2,2
AL,Auburn,3,3,3,3,3,3,3,3,3,3
AL,Autaugaville,2,1,1,1,1,1,1,1,1,1
AL,Banks,2,2,2,2,2,2,2,0,2,2
AL,Bay Minette,2,3,3,3,3,3,3,3,3,3
AL,Bay Minette,3,1,1,1,1,1,1,1,1,1
AL,Bay Minette,4,2,2,2,2,2,2,2,2,2
AL,Berry,2,1,1,1,1,1,1,1,1,1
AL,Bessemer,2,4,4,4,4,4,4,4,4,4
AL,Bessemer,3,7,7,7,7,7,7,7,7,7
AL,Birmingham,1,9,9,9,9,9,9,9,9,9
AL,Birmingham,2,80,80,80,80,80,80,80,80,80
AL,Birmingham,3,83,83,83,83,83,83,83,83,83
AL,Birmingham,4,4,4,4,4,4,4,4,4,4
AL,Blountsville,2,14,14,14,14,14,14,14,14,14
AL,Boligee,3,1,1,1,1,1,1,1,1,1
AL,Brownsboro,2,1,1,1,1,1,1,1,1,1
AL,Brundidge,2,4,4,4,4,4,4,2,4,4
AL,Buhl,2,1,1,1,1,1,1,1,1,1
AL,Calera,2,1,1,1,1,1,1,1,1,1
AL,Calera,3,4,4,4,4,4,4,4,4,4
AL,Camp Hill,2,1,1,1,1,1,1,1,1,1
AL,Carbon Hill,2,2,2,2,2,2,2,2,2,2
AL,Carrollton,2,2,2,2,2,2,2,2,2,2
AL,Castleberry,2,1,1,1,1,1,1,1,1,1
AL,Chelsea,2,1,1,1,1,1,1,1,1,1
AL,Chunchula,2,1,1,1,1,1,1,1,1,1
AL,Citronelle,2,1,1,1,1,1,1,1,1,1
AL,Clanton,2,20,20,20,20,20,20,20,20,20
AL,Clanton,3,2,2,2,2,2,2,2,2,2
AL,Clayton,2,1,1,1,1,1,1,0,0,1
AL,Cleveland,2,3,3,3,3,3,3,3,3,3
AL,Coaling,2,3,3,3,3,3,3,3,3,3
AL,Coaling,3,1,1,1,1,1,1,1,1,1
AL,Collinsville,2,1,1,1,1,1,1,1,1,1
AL,Collinsville,3,1,1,1,1,1,1,1,1,1
AL,Cottondale,1,2,2,2,2,2,2,2,2,2
AL,Cottondale,2,7,7,7,7,7,7,7,7,7
AL,Cottondale,3,5,5,5,5,5,5,5,5,5
AL,Cottondale,4,3,3,3,3,3,3,3,3,3
AL,Creola,2,1,1,1,1,1,1,1,1,1
AL,Cullman,2,20,20,20,20,20,20,20,20,20
AL,Cullman,3,7,7,7,7,7,7,7,7,7
AL,Daleville,2,1,1,1,1,1,1,1,1,1
AL,Daphne,2,3,3,3,3,3,3,3,3,3
AL,Daphne,3,9,9,9,9,9,9,9,9,9
AL,Decatur,2,12,12,12,12,12,12,12,12,12
AL,Dolomite,2,1,1,1,1,1,1,1,1,1
AL,Dothan,2,13,13,13,13,13,13,13,13,13
AL,Duncanville,2,1,1,1,1,1,1,1,1,1
AL,Eclectic,2,2,2,2,2,2,2,2,2,2
AL,Eight Mile,2,1,1,1,1,1,1,1,1,1
AL,Eight Mile,3,2,2,2,2,2,2,2,2,2
AL,Elkmont,3,1,1,1,1,1,1,1,1,1
AL,Elmore,2,1,1,1,1,1,1,1,1,1
AL,Elrod,2,1,1,1,1,1,1,1,1,1
AL,Enterprise,2,3,3,3,3,3,3,3,3,3
AL,Epes,2,1,1,1,1,1,1,1,1,1
AL,Eufaula,2,2,2,2,2,2,2,0,0,2
AL,Eutaw,3,1,1,1,1,1,1,1,1,1
AL,Evergreen,3,1,1,1,1,1,1,1,1,1
AL,Fairfield,2,3,3,3,3,3,3,3,3,3
AL,Fairfield,3,1,1,1,1,1,1,1,1,1
AL,Fairfield,4,1,1,1,1,1,1,1,1,1
AL,Falkville,2,1,1,1,1,1,1,1,1,1
AL,Falkville,3,1,1,1,1,1,1,1,1,1
AL,Fayette,2,3,3,3,3,3,3,3,3,3
AL,Florence,2,3,3,3,3,3,3,3,3,3
AL,Fort Deposit,2,3,3,3,3,3,3,3,3,3
AL,Fort Deposit,3,2,2,2,2,2,2,2,2,2
AL,Fort Payne,2,1,1,1,1,1,1,1,1,1
AL,Fosters,2,2,2,2,2,2,2,2,2,2
AL,Fultondale,2,3,3,3,3,3,3,3,3,3
AL,Fyffe,2,1,1,1,1,1,1,1,1,1
AL,Gadsden,2,1,1,1,1,1,1,1,1,1
AL,Gardendale,1,2,2,2,2,2,2,2,2,2
AL,Gardendale,2,3,3,3,3,3,3,3,3,3
AL,Gardendale,3,4,4,4,4,4,4,4,4,4
AL,Georgiana,2,1,1,1,1,1,1,1,1,1
AL,Grady,2,2,2,2,2,2,2,2,2,2
AL,Grand Bay,2,1,1,1,1,1,1,1,1,1
AL,Grant,2,1,1,1,1,1,1,1,1,1
AL,Greenville,2,2,2,2,2,2,2,2,2,2
AL,Greenville,3,4,4,4,4,4,4,4,4,4
AL,Guntersville,2,1,1,1,1,1,1,1,1,1
AL,Gurley,2,2,2,2,2,2,2,2,2,2
AL,Hamilton,4,1,1,1,1,1,1,1,1,1
AL,Hanceville,2,1,1,1,1,1,1,1,1,1
AL,Harpersville,1,1,1,1,1,1,1,1,1,1
AL,Hartselle,2,4,4,4,4,4,4,4,4,4
