,State,City,Accidents
26,AL,Birmingham,731
176,AL,Montgomery,664
133,AL,Huntsville,510
173,AL,Mobile,399
251,AL,Tuscaloosa,257
410,AZ,Tucson,4569
379,AZ,Phoenix,3994
345,AZ,Glendale,619
395,AZ,Scottsdale,483
406,AZ,Tempe,480
289,AR,Little Rock,54
297,AR,North Little Rock,23
292,AR,Marion,16
304,AR,West Memphis,13
272,AR,Benton,13
906,CA,Los Angeles,7893
1174,CA,Sacramento,4416
1186,CA,San Diego,2669
1193,CA,San Jose,1987
1042,CA,Oakland,1647
1436,CO,Denver,2580
1429,CO,Colorado Springs,786
1407,CO,Aurora,510
1447,CO,Englewood,297
1498,CO,Littleton,168
1599,CT,Hartford,179
1612,CT,Milford,81
1568,CT,Bridgeport,72
1584,CT,East Hartford,60
1675,CT,Waterbury,56
1724,DE,Wilmington,288
1717,DE,Newark,162
1716,DE,New Castle,152
1698,DE,Claymont,72
1695,DE,Bear,62
1694,DC,Washington,1041
1691,DC,Capitol Heights,2
1693,DC,Temple Hills,2
1692,DC,Takoma Park,1
2002,FL,Orlando,2325
1953,FL,Miami,2000
2093,FL,Tampa,1453
1894,FL,Jacksonville,1335
1839,FL,Fort Lauderdale,1220
2150,GA,Atlanta,2256
2153,GA,Augusta,658
2204,GA,Decatur,360
2322,GA,Savannah,304
2271,GA,Macon,203
2483,ID,Boise,20
2510,ID,Nampa,16
2516,ID,Rathdrum,15
2508,ID,Meridian,13
2489,ID,Coeur D Alene,8
2585,IL,Chicago,2633
2628,IL,Elgin,212
2631,IL,Elmhurst,196
2612,IL,Downers Grove,195
2529,IL,Addison,175
2982,IN,Indianapolis,1331
2959,IN,Gary,186
3000,IN,Merrillville,85
2956,IN,Fort Wayne,79
2972,IN,Hammond,77
2406,IA,Des Moines,205
2474,IA,West des Moines,38
2465,IA,Urbandale,37
2394,IA,Cedar Rapids,36
2399,IA,Council Bluffs,32
3066,KS,Kansas City,248
3072,KS,Overland Park,151
3079,KS,Wichita,87
3068,KS,Lenexa,80
3074,KS,Shawnee,61
3109,KY,Louisville,1487
3108,KY,Lexington,261
3086,KY,Covington,177
3098,KY,Ft Mitchell,100
3094,KY,Erlanger,62
3139,LA,Baton Rouge,2525
3191,LA,New Orleans,1791
3208,LA,Shreveport,417
3179,LA,Lafayette,396
3188,LA,Metairie,123
